Order Date,Ship Mode,Segment,City,State,Region,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
11/8/2016,Second Class,Consumer,Henderson,Kentucky,South,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0.0,41.9136
11/8/2016,Second Class,Consumer,Henderson,Kentucky,South,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0.0,219.582
10/11/2015,Standard Class,Consumer,Fort Lauderdale,Florida,South,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45,-383.031
6/9/2014,Standard Class,Consumer,Los Angeles,California,West,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0.0,14.1694
6/9/2014,Standard Class,Consumer,Los Angeles,California,West,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,85.3092
7/16/2017,Second Class,Consumer,Philadelphia,Pennsylvania,East,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2,0.3,-1.0196
9/25/2015,Standard Class,Consumer,Orem,Utah,West,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0.0,240.2649
9/17/2015,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.0522
9/17/2015,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2,15.525
12/8/2016,First Class,Corporate,Richardson,Texas,Central,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.963
12/27/2015,Standard Class,Home Office,Houston,Texas,Central,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,0.32,-46.9764
12/27/2015,Standard Class,Home Office,Houston,Texas,Central,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,3,0.3,-15.147
4/18/2015,Standard Class,Consumer,New Albany,Indiana,Central,Furnishings,Longer-Life Soft White Bulbs,6.16,2,0.0,2.9568
4/18/2015,Standard Class,Consumer,New Albany,Indiana,Central,Chairs,"Global Leather Task Chair, Black",89.99,1,0.0,17.0981
6/17/2016,First Class,Consumer,Troy,New York,East,Chairs,Novimex Turbo Task Chair,319.41,5,0.1,7.098
11/24/2015,Standard Class,Consumer,Los Angeles,California,West,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4,0.0,22.3328
4/30/2015,Standard Class,Home Office,Chicago,Illinois,Central,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,5,0.3,-15.2225
4/26/2015,Standard Class,Consumer,Memphis,Tennessee,South,Chairs,High-Back Leather Manager's Chair,831.936,8,0.2,-114.3912
4/26/2015,Standard Class,Consumer,Memphis,Tennessee,South,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2,0.2,1.213
12/9/2017,First Class,Corporate,Houston,Texas,Central,Furnishings,"6"" Cubicle Wall Clock, Black",9.708,3,0.6,-5.8248
11/26/2014,Second Class,Consumer,Houston,Texas,Central,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5,0.6,-14.475
5/28/2017,Second Class,Consumer,Columbia,South Carolina,South,Chairs,Novimex Swivel Fabric Task Chair,301.96,2,0.0,33.2156
1/31/2015,Second Class,Consumer,Minneapolis,Minnesota,Central,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34,3,0.0,16.5354
11/9/2017,Second Class,Home Office,New York City,New York,East,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,7,0.0,40.5426
11/13/2015,Standard Class,Consumer,Aurora,Colorado,West,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,3,0.2,-3.8385
12/25/2017,Standard Class,Corporate,New York City,New York,East,Furnishings,Magnifier Swing Arm Lamp,41.96,2,0.0,10.9096
3/2/2015,Standard Class,Consumer,Seattle,Washington,West,Tables,Hon Racetrack Conference Tables,787.53,3,0.0,165.3813
6/12/2016,First Class,Consumer,Wilmington,Delaware,East,Furnishings,Artistic Insta-Plaque,47.04,3,0.0,18.3456
12/26/2014,Second Class,Home Office,Houston,Texas,Central,Chairs,Global Deluxe High-Back Manager's Chair,600.558,3,0.3,-8.5794
9/20/2014,Standard Class,Consumer,Bloomington,Illinois,Central,Tables,Bevis 44 x 96 Conference Tables,617.7,6,0.5,-407.682
11/6/2016,Second Class,Home Office,Los Angeles,California,West,Chairs,"Global Task Chair, Black",81.424,2,0.2,-9.1602
11/6/2016,Second Class,Home Office,Los Angeles,California,West,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,238.56,3,0.0,26.2416
10/13/2016,Standard Class,Consumer,Roseville,California,West,Furnishings,Longer-Life Soft White Bulbs,43.12,14,0.0,20.6976
9/5/2016,Second Class,Corporate,Philadelphia,Pennsylvania,East,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",82.8,2,0.2,10.35
10/22/2014,Standard Class,Home Office,Newark,Ohio,East,Furnishings,"Seth Thomas 14"" Putty-Colored Wall Clock",93.888,4,0.2,12.9096
12/5/2016,Standard Class,Corporate,Franklin,Wisconsin,Central,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",1951.84,8,0.0,585.552
3/1/2014,Second Class,Consumer,Seattle,Washington,West,Chairs,Global Deluxe High-Back Manager's Chair,457.568,2,0.2,51.4764
9/8/2014,Standard Class,Consumer,San Antonio,Texas,Central,Chairs,SAFCO Arco Folding Chair,1740.06,9,0.3,-24.858
8/5/2014,Standard Class,Consumer,Los Angeles,California,West,Chairs,"Global Value Steno Chair, Gray",340.144,7,0.2,21.259
11/21/2015,Second Class,Consumer,Newark,Ohio,East,Chairs,"Padded Folding Chairs, Black, 4/Carton",396.802,7,0.3,-11.3372
10/12/2015,First Class,Home Office,New York City,New York,East,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",899.136,4,0.2,112.392
10/12/2015,First Class,Home Office,New York City,New York,East,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",626.352,3,0.2,46.9764
8/3/2014,First Class,Consumer,Denver,Colorado,West,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,218.75,2,0.5,-161.875
6/3/2017,Standard Class,Corporate,Franklin,Tennessee,South,Furnishings,"Eldon 200 Class Desk Accessories, Burgundy",35.168,7,0.2,9.6712
1/2/2015,Standard Class,Corporate,Medina,Ohio,East,Bookcases,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,452.45,5,0.5,-244.323
12/24/2015,First Class,Consumer,Dublin,Ohio,East,Furnishings,"Executive Impressions 14"" Two-Color Numerals Wall Clock",72.704,4,0.2,19.0848
8/9/2015,Standard Class,Corporate,Detroit,Michigan,Central,Tables,Bevis 36 x 72 Conference Tables,622.45,5,0.0,136.939
2/28/2015,Standard Class,Consumer,Columbia,Tennessee,South,Chairs,Global Low Back Tilter Chair,161.568,2,0.2,-28.2744
2/28/2015,Standard Class,Consumer,Columbia,Tennessee,South,Chairs,"Global Push Button Manager's Chair, Indigo",389.696,8,0.2,43.8408
4/7/2017,Standard Class,Home Office,Tampa,Florida,South,Tables,Bush Advantage Collection Round Conference Table,233.86,2,0.45,-102.048
4/7/2017,Standard Class,Home Office,Tampa,Florida,South,Tables,Bretford Rectangular Conference Table Tops,620.6145,3,0.45,-248.2458
4/7/2017,Standard Class,Home Office,Tampa,Florida,South,Furnishings,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",258.072,3,0.2,0.0
6/4/2016,Second Class,Consumer,Chicago,Illinois,Central,Furnishings,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,419.68,5,0.6,-356.728
6/4/2016,Second Class,Consumer,Chicago,Illinois,Central,Furnishings,Staple-based wall hangings,11.688,3,0.6,-4.6752
6/4/2016,Second Class,Consumer,Chicago,Illinois,Central,Tables,KI Conference Tables,177.225,5,0.5,-120.513
6/4/2016,Second Class,Consumer,Chicago,Illinois,Central,Furnishings,Eldon 100 Class Desk Accessories,4.044,3,0.6,-2.8308
6/1/2014,Second Class,Home Office,Lakeville,Minnesota,Central,Chairs,Global Deluxe High-Back Manager's Chair,2001.86,7,0.0,580.5394
12/10/2016,Second Class,Consumer,San Francisco,California,West,Chairs,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",321.568,2,0.2,28.1372
11/28/2015,Standard Class,Corporate,Chicago,Illinois,Central,Furnishings,Eldon 100 Class Desk Accessories,12.132,9,0.6,-8.4924
7/30/2015,First Class,Consumer,San Francisco,California,West,Furnishings,Regeneration Desk Collection,5.28,3,0.0,2.3232
11/2/2015,Standard Class,Consumer,Los Angeles,California,West,Tables,"Bevis Round Bullnose 29"" High Table Top",1038.84,5,0.2,51.942
11/20/2016,Second Class,Home Office,Columbus,Ohio,East,Bookcases,"Bush Westfield Collection Bookcases, Medium Cherry Finish",86.97,3,0.5,-48.7032
12/26/2014,First Class,Corporate,Colorado Springs,Colorado,West,Furnishings,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",300.416,8,0.2,78.8592
12/26/2014,First Class,Corporate,Colorado Springs,Colorado,West,Chairs,Global Deluxe Office Fabric Chairs,230.352,3,0.2,20.1558
12/26/2014,First Class,Corporate,Colorado Springs,Colorado,West,Furnishings,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,218.352,3,0.2,-24.5646
10/28/2016,Standard Class,Corporate,Belleville,New Jersey,East,Furnishings,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",77.6,4,0.0,38.024
11/19/2017,Standard Class,Consumer,Chicago,Illinois,Central,Tables,BPI Conference Tables,219.075,3,0.5,-131.445
5/4/2015,Second Class,Corporate,New York City,New York,East,Furnishings,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,26.8,2,0.0,12.864
9/12/2016,Second Class,Corporate,Arvada,Colorado,West,Furnishings,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,15.136,4,0.2,3.5948
9/12/2016,Second Class,Corporate,Arvada,Colorado,West,Chairs,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,466.768,2,0.2,52.5114
9/12/2016,Second Class,Corporate,Arvada,Colorado,West,Furnishings,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",15.232,1,0.2,1.7136
9/27/2014,Standard Class,Corporate,Hackensack,New Jersey,East,Furnishings,"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black",87.54,3,0.0,37.6422
11/4/2014,Standard Class,Home Office,New York City,New York,East,Chairs,DMI Arturo Collection Mission-style Design Wood Chair,135.882,1,0.1,24.1568
11/3/2017,Second Class,Corporate,Murfreesboro,Tennessee,South,Furnishings,Telescoping Adjustable Floor Lamp,15.992,1,0.2,0.9995
8/30/2016,First Class,Consumer,Philadelphia,Pennsylvania,East,Chairs,Hon 2090 ÒPillow SoftÓ Series Mid Back Swivel/Tilt Chairs,786.744,4,0.3,-258.5016
7/12/2014,Standard Class,Corporate,San Francisco,California,West,Tables,Hon 5100 Series Wood Tables,698.352,3,0.2,-17.4588
4/8/2016,Standard Class,Consumer,New York City,New York,East,Bookcases,Sauder Barrister Bookcases,388.704,6,0.2,-4.8588
9/25/2017,Standard Class,Consumer,New York City,New York,East,Chairs,Global Ergonomic Managers Chair,488.646,3,0.1,86.8704
9/25/2017,Standard Class,Consumer,New York City,New York,East,Furnishings,Eldon Wave Desk Accessories,47.12,8,0.0,20.7328
10/21/2016,Same Day,Corporate,Manchester,Connecticut,East,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",1043.92,4,0.0,271.4192
8/27/2017,Standard Class,Corporate,Franklin,Massachusetts,East,Tables,"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",1488.424,7,0.3,-297.6848
11/27/2015,Standard Class,Consumer,Pembroke Pines,Florida,South,Tables,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",375.4575,3,0.45,-157.0095
12/3/2015,Standard Class,Corporate,Philadelphia,Pennsylvania,East,Furnishings,3M Hangers With Command Adhesive,2.96,1,0.2,0.777
9/8/2016,Second Class,Consumer,Houston,Texas,Central,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",2396.2656,4,0.32,-317.1528
12/8/2017,Standard Class,Consumer,San Francisco,California,West,Tables,"Bevis Round Conference Table Top, X-Base",1004.024,7,0.2,-112.9527
12/8/2017,Standard Class,Consumer,San Francisco,California,West,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,1336.829,13,0.15,31.4548
12/8/2017,Standard Class,Consumer,San Francisco,California,West,Chairs,Novimex High-Tech Fabric Mesh Task Chair,113.568,2,0.2,-18.4548
11/3/2017,Standard Class,Corporate,Seattle,Washington,West,Chairs,Global Deluxe Office Fabric Chairs,307.136,4,0.2,26.8744
